#,method_name,mitigation,paper_title,year,plc_models_count,plc_models,manufacturers_count,manufacturers,softplc_platform,target_component,strategy,effectiveness,weaknesses,infrastructure_overhead,infrastructure_changes,plc_overhead,overhead_details,maintenance,maintenance_details,access_level,vector
47,Blockchain Monitoring,Encrypt Network Traffic,A novel monitoring system for the data integrity of reactor protection system using blockchain technology,2020,1,not specified,1,LS Electric,NA,Control Logic,Prevention,High,NA,High,Blockchain and blockchain nodes,None,NA,Medium,Blockchain maintenance,LAN,EtherNet/IP
48,Secure Logging for ICS,Encrypt Network Traffic,On the feasibility of secure logging for industrial control systems using blockchain,2019,1,Siemens S7-1500,1,Siemens,NA,Network,Prevention,High,NA,High,Logging device and Publick Blockchain,None,NA,None,Blockchain,LAN,Syslog
49,PAtt,Attestation,{PAtt}: Physics-based Attestation of Control Systems,2019,1,Siemens S7-1200,1,Siemens,NA,Control Logic,Prevention,Medium,False positives,Medium,Attestation Server,Medium,PLC computes crypto hash,None,NA,LAN,Output
50,Mitigate Malicious Disruption,Redundancy of Service,United We Stand: A Threshold Signature Scheme for Identifying Outliers in PLCs,2019,0,not specified,0,not specified,OpenPLC,I/O,Detection,Low,,None,NA,Medium,Will induce some delay,None,NA,Physical,N/S
51,PLC-PROV,Validate Program Inputs,Detecting safety and security faults in PLC systems with data provenance,2019,0,not specified,0,not specified,CODESYS,I/O,Detection,Medium,Spoofing,Medium,PLC-PROV System,None,NA,Medium,Administrator have to monitor the system,Fieldbus,N/S
52,Snapshooter,Network Intrusion Prevention,Snapshotter: Lightweight intrusion detection and prevention system for industrial control systems,2018,0,not specified,0,not specified,OpenPLC,Control Logic,Detection,Medium,False positives,Medium,Snapshotter Agent,Medium,54ms ,None,NA,Fieldbus,Syslog
53,CPS Twinning,Redundancy of Service,Towards security-aware virtual environments for digital twins,2018,1,Siemens S7-1200,1,Siemens,NA,Network,Responsive,Low,,High,Digital Twin,None,NA,High,Digital twins need to be updated,LAN,Modbus TCP
54,Embedding Encryption,Encrypt Network Traffic,Embedding encryption and machine learning intrusion prevention systems on programmable logic controllers,2018,0,not specified,0,not specified,OpenPLC,Network,Prevention,High,NA,None,NA,None,NA,None,NA,LAN,Modbus TCP
55,Model-based anomaly detection,Network Intrusion Prevention,Anomaly-based detection and classification of attacks in cyber-physical systems,2017,1,Siemens S7-1200,1,Siemens,NA,Network,Detection,High,NA,Medium,Raspberry PI,None,NA,None,,LAN,s7comm
56,OpenPLC AES-256 Implementation,Encrypt Network Traffic,Securing scada applications using openplc with end-to-end encryption,2017,0,not specified,0,not specified,OpenPLC,Network,Prevention,High,NA,None,NA,None,NA,None,NA,Internet,"Modbus TCP, DNP3"
57, Physics-based attack detection,Network Intrusion Prevention,Limiting the impact of stealthy attacks on industrial control systems,2016,1,not specified,1,not specified,NA,I/O,Detection,Medium,Adversary controls sensors,None,NA,None,NA,None,NA,LAN,EtherNet/IP
58,PLCloud,Control Logic Verification,PLCloud: Comprehensive power grid PLC security monitoring with zero safety disruption,2015,1,Siemens S7-300,1,Siemens,NA,Network,Responsive,Low,,High,Cloud infrastructure,None,PLC to cloud connection,High,Cloud infra maintenance,Internet,s7comm
59,Telemetry Based Intrusion Detection System,Network Intrusion Prevention,Industrial control system network intrusion detection by telemetry analysis,2015,not specified,not specified,not specified,not specified,NA,Network,Detection,Medium,"Network hops, network congestion",Medium,IDS instalation and configuration,None,NA,None,,Fieldbus,Modbus TCP
60,PLC Guard,Control Logic Verification,PLC Guard: A practical defense against attacks on cyber-physical systems,2015,1,Siemens S7-300,1,Siemens,NA,Network,Prevention,High,NA,Medium,Raspberry PI,None,NA,Medium,Connect and remove harware when changing code,LAN,s7comm
61,Semantic IDS,Network Intrusion Prevention,Through the eye of the PLC: semantic security monitoring for industrial processes,2014,not specified,not specified,not specified,not specified,NA,Network,Detection,Medium,False positives,Medium,IDS instalation and configuration,None,NA,None,,Fieldbus,Modbus TCP
62,LVST (LabView SSH Tunnel),Encrypt Network Traffic,Evaluation of secure signal transmission in automatic control using SSH tunneling,2013,2,"Siemens S7-300, ControlLogix 5500",2,"Siemens, Rockwell",NA,Network,Prevention,High,NA,Medium,SSH Tunneler,None,NA,None,NA,Internet,EtherNet/IP
63,Encrypted Traffic Intrusion Detector,Network Intrusion Prevention,Detecting intrusions in encrypted control traffic,2013,not specified,not specified,not specified,not specified,NA,Network,Detection,Low,"No mention of effectiveness, no evaluation against real attacks",Medium,IDS instalation and configuration,None,NA,None,NA,Fieldbus,IEC 104
64,Arcade.PLC,Control Logic Verification,Arcade. PLC: A verification platform for programmable logic controllers,2012,not specified,not specified,1,Siemens,NA,Control Logic,Prevention,Medium,NA,None,NA,None,NA,None,NA,Internet,s7comm
65,Non-invasive anomaly detection system,Out-of-Band Communications Channel,Anomoly Detection for PLC Based on Magnetic Side Channel,2020,4,"ControlLogix 5000, Schneider M340, GE Versamax, Siemens S7-1200",1,"Rockwell, Siemens, Emerson Automation, Schneider Electric",NA,Control Logic,Detection,Medium,False positives,Medium,Magnetic sensor,None,NA,None,NA,Physical,N/S
66,SNIFU,Code Signing,Snifu: Secure network interception for firmware updates in legacy plcs,2020,1,WAGO 750-881 PFC,1,Wago,NA,Firmware,Prevention,High,NA,Medium,Bump-in-the-wire Raspberry Pi,None,NA,None,NA,Physical,USB Port
67,Armor PLC,Redundancy of Service,Armor PLC: A Platform for Cyber Security Threats Assessments for PLCs,2019,0,not specified,0,not specified,OpenPLC,Control Logic,Detection,Medium,False positives,High,Redundant PLC Cluster,None,25 ms,None,NA,Physical,N/S
68,PLCPrint,Validate Program Inputs,PLCPrint: Fingerprinting Memory Attacks in Programmable Logic Controllers,2023,2,"Siemens S7-300, ControlLogix 5571",2,"Siemens, Rockwell",NA,I/O,Detection,Medium,Firmware manipulation attacks,None,NA,None,2s,None,NA,Fieldbus,s7comm
69,ICSPatch,Update Control Logic,ICSPatch: Automated Vulnerability Localization and Non-Intrusive Hotpatching in Industrial Control Systems using Data Dependence Graphs,2022,2,"Wago PFC100, PFC200",1,Wago,CODESYS,Control Logic,Prevention,High,NA,Medium,ICSPatch Server,None,"e (0.05-17.4
µs) ",None,NA,LAN,N/S
70,Memory Access Taintedness,Exploit Protection,Vulnerability analysis of SCADA protocol binaries through detection of memory access taintedness,2007,not specified,not specified,not specified,not specified,NA,Network,Detection,Medium,Decision tree might be limited,None,NA,None,NA,None,NA,LAN,Modbus TCP
